accel_x, accel_y, accel_z, gyros_x, gyros_y, gyros_z
0.959, 0.074, -0.083, -39.856, 0.183, -4.272
0.969, 0.094, -0.084, -51.636, -0.427, -4.211
0.873, -0.078, -0.168, -44.556, 9.399, -7.690
0.923, -0.144, -0.196, -48.340, 12.817, -5.981
0.943, -0.219, -0.198, -50.049, 13.123, -11.414
0.943, -0.284, -0.177, -16.785, -0.427, -12.573
0.896, -0.313, -0.219, -5.737, 8.301, -1.709
0.915, -0.341, -0.214, 8.667, -3.845, -0.549
0.923, -0.284, -0.240, 23.254, -12.268, 0.610
0.966, -0.204, -0.199, 18.005, -9.033, 6.531
0.945, -0.265, -0.160, -5.249, 4.272, -19.836
0.967, -0.336, -0.183, -2.380, 9.766, -9.399
0.901, -0.357, -0.229, 2.258, 0.000, -6.531
0.900, -0.344, -0.222, 1.465, 0.305, -0.183
0.896, -0.366, -0.237, 10.986, 6.470, -4.211
0.897, -0.379, -0.280, 0.793, 5.920, -1.099
0.920, -0.351, -0.267, -3.479, 1.343, 4.333
0.898, -0.337, -0.290, 10.010, -4.761, 11.230
0.871, -0.259, -0.296, 30.273, -25.330, 35.889
0.914, -0.144, -0.154, 1.465, -25.024, 32.776
1.016, -0.040, -0.063, -15.076, -8.606, 13.062
0.958, -0.011, -0.053, -23.132, -3.357, 1.221
1.022, -0.026, 0.061, -5.676, -35.767, 5.066
0.977, 0.009, 0.034, 7.202, 9.705, 2.502
0.977, 0.087, 0.011, 40.100, 16.113, 4.578
0.961, 0.080, -0.010, 51.086, 6.714, 5.127
0.954, 0.068, -0.025, 8.301, 0.549, 2.502
0.955, 0.099, 0.006, -8.057, 1.709, -1.221
0.963, 0.112, -0.040, 1.221, 2.747, 7.874
0.960, 0.121, -0.032, -12.207, -1.831, -0.916
0.955, 0.109, -0.022, -29.541, -3.784, -6.714
0.968, 0.146, -0.008, -54.749, -2.869, -10.010
1.169, -0.010, -0.064, -35.461, 26.794, -6.165
0.873, -0.073, -0.154, -34.363, 15.076, -12.756
0.929, -0.147, -0.144, -24.963, 2.747, 0.244
0.953, -0.118, -0.132, -7.690, -5.310, 4.578
0.958, -0.091, -0.128, -6.958, 3.540, -4.028
0.968, -0.173, -0.155, -19.775, 13.306, -11.597
0.938, -0.201, -0.189, -4.578, 20.081, 0.488
0.934, -0.208, -0.327, 10.132, 26.123, -3.113
0.912, -0.116, -0.420, 11.169, -11.353, 5.249
0.958, -0.021, -0.331, -15.686, 0.122, 6.287
0.942, 0.014, -0.318, -14.771, -1.770, 16.602
0.818, 0.034, -0.313, -19.043, 17.944, 13.184
